date,away,away_pts,home,home_pts
Fri Nov 8 2019,New York Knicks,106,Dallas Mavericks,102
Fri Nov 8 2019,Philadelphia 76ers,97,Denver Nuggets,100
Fri Nov 8 2019,Milwaukee Bucks,100,Utah Jazz,103
Fri Nov 8 2019,Brooklyn Nets,119,Portland Trail Blazers,115
Fri Nov 8 2019,Miami Heat,80,Los Angeles Lakers,95
Sat Nov 9 2019,Boston Celtics,135,San Antonio Spurs,115
Sat Nov 9 2019,New Orleans Pelicans,115,Charlotte Hornets,110
Sat Nov 9 2019,Houston Rockets,117,Chicago Bulls,94
Sat Nov 9 2019,Dallas Mavericks,138,Memphis Grizzlies,122
Sat Nov 9 2019,Golden State Warriors,108,Oklahoma City Thunder,114
Sun Nov 10 2019,Denver Nuggets,100,Minnesota Timberwolves,98
Sun Nov 10 2019,Indiana Pacers,109,Orlando Magic,102
Sun Nov 10 2019,Charlotte Hornets,106,Philadelphia 76ers,114
Sun Nov 10 2019,Milwaukee Bucks,121,Oklahoma City Thunder,119
Sun Nov 10 2019,Cleveland Cavaliers,108,New York Knicks,87
Sun Nov 10 2019,Brooklyn Nets,112,Phoenix Suns,138
Sun Nov 10 2019,Atlanta Hawks,113,Portland Trail Blazers,124
Sun Nov 10 2019,Toronto Raptors,113,Los Angeles Lakers,104
Mon Nov 11 2019,Minnesota Timberwolves,120,Detroit Pistons,114
Mon Nov 11 2019,Dallas Mavericks,106,Boston Celtics,116
Mon Nov 11 2019,Memphis Grizzlies,113,San Antonio Spurs,109
Mon Nov 11 2019,Houston Rockets,122,New Orleans Pelicans,116
Mon Nov 11 2019,Utah Jazz,122,Golden State Warriors,108
Mon Nov 11 2019,Toronto Raptors,88,Los Angeles Clippers,98
Tue Nov 12 2019,Oklahoma City Thunder,85,Indiana Pacers,111
Tue Nov 12 2019,Cleveland Cavaliers,97,Philadelphia 76ers,98
Tue Nov 12 2019,Detroit Pistons,108,Miami Heat,117
Tue Nov 12 2019,New York Knicks,102,Chicago Bulls,120
Tue Nov 12 2019,Atlanta Hawks,125,Denver Nuggets,121
Tue Nov 12 2019,Los Angeles Lakers,123,Phoenix Suns,115
Tue Nov 12 2019,Brooklyn Nets,114,Utah Jazz,119
Tue Nov 12 2019,Portland Trail Blazers,99,Sacramento Kings,107
Wed Nov 13 2019,Memphis Grizzlies,119,Charlotte Hornets,117
Wed Nov 13 2019,Philadelphia 76ers,97,Orlando Magic,112
Wed Nov 13 2019,Washington Wizards,133,Boston Celtics,140
Wed Nov 13 2019,Los Angeles Clippers,93,Houston Rockets,102
Wed Nov 13 2019,San Antonio Spurs,114,Minnesota Timberwolves,129
Wed Nov 13 2019,Golden State Warriors,94,Los Angeles Lakers,120
Wed Nov 13 2019,Toronto Raptors,114,Portland Trail Blazers,106
Thu Nov 14 2019,Miami Heat,108,Cleveland Cavaliers,97
Thu Nov 14 2019,Chicago Bulls,115,Milwaukee Bucks,124
Thu Nov 14 2019,Los Angeles Clippers,127,New Orleans Pelicans,132
Thu Nov 14 2019,Dallas Mavericks,103,New York Knicks,106
Thu Nov 14 2019,Atlanta Hawks,112,Phoenix Suns,128
Thu Nov 14 2019,Brooklyn Nets,93,Denver Nuggets,101
Fri Nov 15 2019,Detroit Pistons,106,Charlotte Hornets,109
Fri Nov 15 2019,San Antonio Spurs,109,Orlando Magic,111
Fri Nov 15 2019,Indiana Pacers,102,Houston Rockets,111
Fri Nov 15 2019,Utah Jazz,106,Memphis Grizzlies,107
Fri Nov 15 2019,Washington Wizards,137,Minnesota Timberwolves,116
Fri Nov 15 2019,Philadelphia 76ers,119,Oklahoma City Thunder,127
Fri Nov 15 2019,Boston Celtics,105,Golden State Warriors,100
Fri Nov 15 2019,Sacramento Kings,97,Los Angeles Lakers,99
Sat Nov 16 2019,Brooklyn Nets,117,Chicago Bulls,111
Sat Nov 16 2019,Milwaukee Bucks,102,Indiana Pacers,83
Sat Nov 16 2019,Charlotte Hornets,103,New York Knicks,102
Sat Nov 16 2019,New Orleans Pelicans,94,Miami Heat,109
Sat Nov 16 2019,Houston Rockets,125,Minnesota Timberwolves,105
Sat Nov 16 2019,Toronto Raptors,102,Dallas Mavericks,110
Sat Nov 16 2019,Portland Trail Blazers,121,San Antonio Spurs,116
Sat Nov 16 2019,Atlanta Hawks,101,Los Angeles Clippers,150
Sun Nov 17 2019,Philadelphia 76ers,114,Cleveland Cavaliers,95
Sun Nov 17 2019,Boston Celtics,99,Sacramento Kings,100
Sun Nov 17 2019,Denver Nuggets,131,Memphis Grizzlies,114
Sun Nov 17 2019,Washington Wizards,121,Orlando Magic,125
Sun Nov 17 2019,Golden State Warriors,100,New Orleans Pelicans,108
Sun Nov 17 2019,Atlanta Hawks,101,Los Angeles Lakers,122
Mon Nov 18 2019,Cleveland Cavaliers,105,New York Knicks,123
Mon Nov 18 2019,Indiana Pacers,115,Brooklyn Nets,86
Mon Nov 18 2019,Charlotte Hornets,96,Toronto Raptors,132
Mon Nov 18 2019,Milwaukee Bucks,115,Chicago Bulls,101
Mon Nov 18 2019,Portland Trail Blazers,108,Houston Rockets,132
Mon Nov 18 2019,San Antonio Spurs,110,Dallas Mavericks,117
Mon Nov 18 2019,Boston Celtics,99,Phoenix Suns,85
Mon Nov 18 2019,Minnesota Timberwolves,112,Utah Jazz,102
Mon Nov 18 2019,Oklahoma City Thunder,88,Los Angeles Clippers,90
Tue Nov 19 2019,Golden State Warriors,114,Memphis Grizzlies,95
Tue Nov 19 2019,Portland Trail Blazers,104,New Orleans Pelicans,115
Tue Nov 19 2019,Phoenix Suns,116,Sacramento Kings,120
Tue Nov 19 2019,Oklahoma City Thunder,107,Los Angeles Lakers,112
Wed Nov 20 2019,New York Knicks,104,Philadelphia 76ers,109
Wed Nov 20 2019,San Antonio Spurs,132,Washington Wizards,138
Wed Nov 20 2019,Milwaukee Bucks,135,Atlanta Hawks,127
Wed Nov 20 2019,Charlotte Hornets,91,Brooklyn Nets,101
Wed Nov 20 2019,Golden State Warriors,94,Dallas Mavericks,142
Wed Nov 20 2019,Cleveland Cavaliers,100,Miami Heat,124
Wed Nov 20 2019,Orlando Magic,97,Toronto Raptors,113
Wed Nov 20 2019,Detroit Pistons,89,Chicago Bulls,109
Wed Nov 20 2019,Utah Jazz,103,Minnesota Timberwolves,95
Wed Nov 20 2019,Houston Rockets,95,Denver Nuggets,105
Wed Nov 20 2019,Boston Celtics,104,Los Angeles Clippers,107
Thu Nov 21 2019,Portland Trail Blazers,129,Milwaukee Bucks,137
Thu Nov 21 2019,New Orleans Pelicans,124,Phoenix Suns,121
Fri Nov 22 2019,Atlanta Hawks,103,Detroit Pistons,128
Fri Nov 22 2019,Charlotte Hornets,118,Washington Wizards,125
Fri Nov 22 2019,Sacramento Kings,97,Brooklyn Nets,116
Fri Nov 22 2019,Miami Heat,116,Chicago Bulls,108
Fri Nov 22 2019,Los Angeles Lakers,130,Oklahoma City Thunder,127
Fri Nov 22 2019,San Antonio Spurs,104,Philadelphia 76ers,115
Fri Nov 22 2019,Cleveland Cavaliers,101,Dallas Mavericks,143
Fri Nov 22 2019,Boston Celtics,92,Denver Nuggets,96
Fri Nov 22 2019,Golden State Warriors,109,Utah Jazz,113
Fri Nov 22 2019,Houston Rockets,119,Los Angeles Clippers,122
Sat Nov 23 2019,Phoenix Suns,100,Minnesota Timberwolves,98
Sat Nov 23 2019,Chicago Bulls,116,Charlotte Hornets,115
Sat Nov 23 2019,Orlando Magic,106,Indiana Pacers,111
Sat Nov 23 2019,Toronto Raptors,119,Atlanta Hawks,116
Sat Nov 23 2019,San Antonio Spurs,111,New York Knicks,104
Sat Nov 23 2019,Miami Heat,86,Philadelphia 76ers,113
Sat Nov 23 2019,Portland Trail Blazers,104,Cleveland Cavaliers,110
Sat Nov 23 2019,Los Angeles Lakers,109,Memphis Grizzlies,108
Sat Nov 23 2019,Detroit Pistons,90,Milwaukee Bucks,104
Sat Nov 23 2019,New Orleans Pelicans,120,Utah Jazz,128
Sun Nov 24 2019,Dallas Mavericks,137,Houston Rockets,123
Sun Nov 24 2019,Brooklyn Nets,103,New York Knicks,101
Sun Nov 24 2019,Sacramento Kings,113,Washington Wizards,106
Sun Nov 24 2019,Phoenix Suns,104,Denver Nuggets,116
Sun Nov 24 2019,New Orleans Pelicans,109,Los Angeles Clippers,134
Mon Nov 25 2019,Brooklyn Nets,108,Cleveland Cavaliers,106
Mon Nov 25 2019,Orlando Magic,88,Detroit Pistons,103
Mon Nov 25 2019,Memphis Grizzlies,114,Indiana Pacers,126
Mon Nov 25 2019,Minnesota Timberwolves,125,Atlanta Hawks,113
Mon Nov 25 2019,Sacramento Kings,102,Boston Celtics,103
Mon Nov 25 2019,Charlotte Hornets,100,Miami Heat,117
Mon Nov 25 2019,Philadelphia 76ers,96,Toronto Raptors,101
Mon Nov 25 2019,Portland Trail Blazers,117,Chicago Bulls,94
Mon Nov 25 2019,Utah Jazz,118,Milwaukee Bucks,122
Mon Nov 25 2019,Los Angeles Lakers,114,San Antonio Spurs,104
Mon Nov 25 2019,Oklahoma City Thunder,100,Golden State Warriors,97
Tue Nov 26 2019,Los Angeles Clippers,114,Dallas Mavericks,99
Tue Nov 26 2019,Washington Wizards,104,Denver Nuggets,117
Wed Nov 27 2019,Brooklyn Nets,110,Boston Celtics,121
Wed Nov 27 2019,Detroit Pistons,101,Charlotte Hornets,102
Wed Nov 27 2019,Orlando Magic,116,Cleveland Cavaliers,104
Wed Nov 27 2019,Utah Jazz,102,Indiana Pacers,121
Wed Nov 27 2019,Sacramento Kings,91,Philadelphia 76ers,97
Wed Nov 27 2019,New York Knicks,98,Toronto Raptors,126
Wed Nov 27 2019,Miami Heat,108,Houston Rockets,117
Wed Nov 27 2019,Los Angeles Clippers,121,Memphis Grizzlies,119
Wed Nov 27 2019,Atlanta Hawks,102,Milwaukee Bucks,111
Wed Nov 27 2019,Minnesota Timberwolves,113,San Antonio Spurs,101
Wed Nov 27 2019,Washington Wizards,140,Phoenix Suns,132
Wed Nov 27 2019,Los Angeles Lakers,114,New Orleans Pelicans,110
Wed Nov 27 2019,Oklahoma City Thunder,119,Portland Trail Blazers,136
Wed Nov 27 2019,Chicago Bulls,90,Golden State Warriors,104
Fri Nov 29 2019,Boston Celtics,107,Brooklyn Nets,112
Fri Nov 29 2019,Charlotte Hornets,110,Detroit Pistons,107
Fri Nov 29 2019,Toronto Raptors,90,Orlando Magic,83
Fri Nov 29 2019,Milwaukee Bucks,119,Cleveland Cavaliers,110
Fri Nov 29 2019,Philadelphia 76ers,101,New York Knicks,95
Fri Nov 29 2019,Atlanta Hawks,104,Indiana Pacers,105
Fri Nov 29 2019,Utah Jazz,103,Memphis Grizzlies,94
Fri Nov 29 2019,Golden State Warriors,105,Miami Heat,122
Fri Nov 29 2019,New Orleans Pelicans,104,Oklahoma City Thunder,109
Fri Nov 29 2019,Los Angeles Clippers,97,San Antonio Spurs,107
Fri Nov 29 2019,Dallas Mavericks,120,Phoenix Suns,113
Fri Nov 29 2019,Chicago Bulls,103,Portland Trail Blazers,107
Fri Nov 29 2019,Washington Wizards,103,Los Angeles Lakers,125
Sat Nov 30 2019,Denver Nuggets,97,Sacramento Kings,100
Sat Nov 30 2019,Indiana Pacers,116,Philadelphia 76ers,119
Sat Nov 30 2019,Atlanta Hawks,111,Houston Rockets,158
Sat Nov 30 2019,Charlotte Hornets,96,Milwaukee Bucks,137
Sun Dec 1 2019,Miami Heat,109,Brooklyn Nets,106
Sun Dec 1 2019,Memphis Grizzlies,115,Minnesota Timberwolves,107
Sun Dec 1 2019,Boston Celtics,113,New York Knicks,104
Sun Dec 1 2019,Dallas Mavericks,114,Los Angeles Lakers,100
Sun Dec 1 2019,San Antonio Spurs,98,Detroit Pistons,132
Sun Dec 1 2019,Oklahoma City Thunder,107,New Orleans Pelicans,104
Sun Dec 1 2019,Golden State Warriors,96,Orlando Magic,100
Sun Dec 1 2019,Utah Jazz,110,Toronto Raptors,130
Sun Dec 1 2019,Washington Wizards,125,Los Angeles Clippers,150
Mon Dec 2 2019,Phoenix Suns,109,Charlotte Hornets,104
Mon Dec 2 2019,Utah Jazz,94,Philadelphia 76ers,103
Mon Dec 2 2019,Golden State Warriors,79,Atlanta Hawks,104
Mon Dec 2 2019,Indiana Pacers,117,Memphis Grizzlies,104
Mon Dec 2 2019,New York Knicks,88,Milwaukee Bucks,132
Mon Dec 2 2019,Chicago Bulls,113,Sacramento Kings,106
Tue Dec 3 2019,Detroit Pistons,127,Cleveland Cavaliers,94
Tue Dec 3 2019,Orlando Magic,127,Washington Wizards,120
Tue Dec 3 2019,Dallas Mavericks,118,New Orleans Pelicans,97
Tue Dec 3 2019,Miami Heat,121,Toronto Raptors,110
Tue Dec 3 2019,Houston Rockets,133,San Antonio Spurs,135
Tue Dec 3 2019,Los Angeles Lakers,105,Denver Nuggets,96
Tue Dec 3 2019,Portland Trail Blazers,97,Los Angeles Clippers,117
Wed Dec 4 2019,Golden State Warriors,91,Charlotte Hornets,106
Wed Dec 4 2019,Milwaukee Bucks,127,Detroit Pistons,103
Wed Dec 4 2019,Phoenix Suns,114,Orlando Magic,128
Wed Dec 4 2019,Brooklyn Nets,130,Atlanta Hawks,118
Wed Dec 4 2019,Miami Heat,93,Boston Celtics,112
Wed Dec 4 2019,Memphis Grizzlies,99,Chicago Bulls,106
Wed Dec 4 2019,Indiana Pacers,107,Oklahoma City Thunder,100
Wed Dec 4 2019,Minnesota Timberwolves,114,Dallas Mavericks,121
Wed Dec 4 2019,Los Angeles Lakers,121,Utah Jazz,96
Wed Dec 4 2019,Sacramento Kings,116,Portland Trail Blazers,127
Thu Dec 5 2019,Philadelphia 76ers,113,Washington Wizards,119
Thu Dec 5 2019,Denver Nuggets,129,New York Knicks,92
Thu Dec 5 2019,Houston Rockets,119,Toronto Raptors,109
Thu Dec 5 2019,Phoenix Suns,139,New Orleans Pelicans,132
Fri Dec 6 2019,Brooklyn Nets,111,Charlotte Hornets,104
Fri Dec 6 2019,Orlando Magic,93,Cleveland Cavaliers,87
Fri Dec 6 2019,Indiana Pacers,101,Detroit Pistons,108
Fri Dec 6 2019,Denver Nuggets,95,Boston Celtics,108
Fri Dec 6 2019,Golden State Warriors,100,Chicago Bulls,98
Fri Dec 6 2019,Washington Wizards,103,Miami Heat,112
Fri Dec 6 2019,Minnesota Timberwolves,127,Oklahoma City Thunder,139
Fri Dec 6 2019,Los Angeles Clippers,91,Milwaukee Bucks,119
Fri Dec 6 2019,Sacramento Kings,104,San Antonio Spurs,105
Fri Dec 6 2019,Los Angeles Lakers,136,Portland Trail Blazers,113
Sat Dec 7 2019,New Orleans Pelicans,84,Dallas Mavericks,130
Sat Dec 7 2019,Indiana Pacers,104,New York Knicks,103
Sat Dec 7 2019,Cleveland Cavaliers,94,Philadelphia 76ers,141
Sat Dec 7 2019,Phoenix Suns,109,Houston Rockets,115
Sat Dec 7 2019,Memphis Grizzlies,112,Utah Jazz,126
Sun Dec 8 2019,Denver Nuggets,102,Brooklyn Nets,105
Sun Dec 8 2019,Atlanta Hawks,122,Charlotte Hornets,107
Sun Dec 8 2019,Chicago Bulls,105,Miami Heat,110
Sun Dec 8 2019,Toronto Raptors,104,Philadelphia 76ers,110
Sun Dec 8 2019,Los Angeles Clippers,135,Washington Wizards,119
Sun Dec 8 2019,Sacramento Kings,110,Dallas Mavericks,106
Sun Dec 8 2019,Oklahoma City Thunder,108,Portland Trail Blazers,96
Sun Dec 8 2019,Minnesota Timberwolves,125,Los Angeles Lakers,142
Mon Dec 9 2019,Los Angeles Clippers,110,Indiana Pacers,99
Mon Dec 9 2019,Cleveland Cavaliers,88,Boston Celtics,110
Mon Dec 9 2019,Toronto Raptors,93,Chicago Bulls,92
Mon Dec 9 2019,Sacramento Kings,119,Houston Rockets,118
Mon Dec 9 2019,Orlando Magic,101,Milwaukee Bucks,110
Mon Dec 9 2019,Detroit Pistons,105,New Orleans Pelicans,103
Mon Dec 9 2019,Minnesota Timberwolves,109,Phoenix Suns,125
Mon Dec 9 2019,Oklahoma City Thunder,104,Utah Jazz,90
Mon Dec 9 2019,Memphis Grizzlies,110,Golden State Warriors,102
Tue Dec 10 2019,Washington Wizards,107,Charlotte Hornets,114
Tue Dec 10 2019,Atlanta Hawks,121,Miami Heat,135
Tue Dec 10 2019,Denver Nuggets,92,Philadelphia 76ers,97
Tue Dec 10 2019,New York Knicks,87,Portland Trail Blazers,115
Wed Dec 11 2019,Houston Rockets,116,Cleveland Cavaliers,110
Wed Dec 11 2019,Boston Celtics,117,Indiana Pacers,122
Wed Dec 11 2019,Los Angeles Lakers,96,Orlando Magic,87
Wed Dec 11 2019,Los Angeles Clippers,112,Toronto Raptors,92
Wed Dec 11 2019,Charlotte Hornets,113,Brooklyn Nets,108
Wed Dec 11 2019,Atlanta Hawks,102,Chicago Bulls,136
Wed Dec 11 2019,Utah Jazz,127,Minnesota Timberwolves,116
Wed Dec 11 2019,Memphis Grizzlies,115,Phoenix Suns,108
Wed Dec 11 2019,New Orleans Pelicans,112,Milwaukee Bucks,127
Wed Dec 11 2019,Oklahoma City Thunder,93,Sacramento Kings,94
Wed Dec 11 2019,New York Knicks,124,Golden State Warriors,122
Thu Dec 12 2019,Philadelphia 76ers,115,Boston Celtics,109
Thu Dec 12 2019,Cleveland Cavaliers,117,San Antonio Spurs,109
Thu Dec 12 2019,Dallas Mavericks,122,Detroit Pistons,111
Thu Dec 12 2019,Portland Trail Blazers,99,Denver Nuggets,114
Fri Dec 13 2019,Los Angeles Lakers,113,Miami Heat,110
Fri Dec 13 2019,Houston Rockets,130,Orlando Magic,107
Fri Dec 13 2019,New Orleans Pelicans,109,Philadelphia 76ers,116
Fri Dec 13 2019,Indiana Pacers,110,Atlanta Hawks,100
Fri Dec 13 2019,Charlotte Hornets,83,Chicago Bulls,73
Fri Dec 13 2019,Milwaukee Bucks,127,Memphis Grizzlies,114
Fri Dec 13 2019,Golden State Warriors,106,Utah Jazz,114
Fri Dec 13 2019,Los Angeles Clippers,124,Minnesota Timberwolves,117
Fri Dec 13 2019,New York Knicks,103,Sacramento Kings,101
Sat Dec 14 2019,San Antonio Spurs,121,Phoenix Suns,119
Sat Dec 14 2019,Brooklyn Nets,102,Toronto Raptors,110
Sat Dec 14 2019,Los Angeles Clippers,106,Chicago Bulls,109
Sat Dec 14 2019,Washington Wizards,111,Memphis Grizzlies,128
Sat Dec 14 2019,Miami Heat,122,Dallas Mavericks,118
Sat Dec 14 2019,Cleveland Cavaliers,108,Milwaukee Bucks,125
Sat Dec 14 2019,Oklahoma City Thunder,102,Denver Nuggets,110
Sat Dec 14 2019,Detroit Pistons,115,Houston Rockets,107
Sun Dec 15 2019,Orlando Magic,130,New Orleans Pelicans,119
Sun Dec 15 2019,Charlotte Hornets,85,Indiana Pacers,107
Sun Dec 15 2019,Los Angeles Lakers,101,Atlanta Hawks,96
Sun Dec 15 2019,Philadelphia 76ers,89,Brooklyn Nets,109
Sun Dec 15 2019,New York Knicks,105,Denver Nuggets,111
Sun Dec 15 2019,Sacramento Kings,100,Golden State Warriors,79
Mon Dec 16 2019,Washington Wizards,133,Detroit Pistons,119
Mon Dec 16 2019,Cleveland Cavaliers,113,Toronto Raptors,133
